Method,Power_mW,Bead_ID,Intensity_920,Intensity_Ref_1030,Crosstalk_Ratio
With DUET,2,4,54.3207894736833,21062.9540540541,0.0025789729842395
With DUET,2,5,209.814285714284,22280.2028205128,0.00941707251969509
With DUET,2,6,15.7642458100555,12880.9549450549,0.00122384139043258
With DUET,2,7,25.3263736263732,13431.7948087432,0.00188555394025879
With DUET,2,8,43.3234999999991,20951.8934343434,0.00206776061246021
With DUET,2,9,79.1441666666655,19225.73125,0.00411657510643011
With DUET,2,10,44.9312820512811,20550.7171052632,0.00218636078834319
With DUET,2,11,62.1399456521729,19818.4994594595,0.00313545159053468
With DUET,2,12,19.5718592964817,16187.2507653061,0.00120909100502908
Traditional,2,1,3385.39444444444,14117.6378306878,0.239798929895023
Traditional,2,2,8584.08516483517,18641.0002747253,0.460494878940271
Traditional,2,3,9297.05785340314,22016.3923076923,0.422278896718008
Traditional,2,4,7511.06972972973,21062.9540540541,0.356600964444683
Traditional,2,5,11410.8443005181,22280.2028205128,0.51215172466978
Traditional,2,6,3154.45414364641,12880.9549450549,0.244892879223789
Traditional,2,7,3597.06467391304,13431.7948087432,0.267802235303029
Traditional,2,8,6565.59735576923,20951.8934343434,0.313365346971801
Traditional,2,9,8287.77582417582,19225.73125,0.431077274326084
Traditional,2,10,6677.25025773196,20550.7171052632,0.324915681702507
Traditional,2,11,7326.20549450549,19818.4994594595,0.369664994541686
Traditional,2,12,4479.57397959183,16187.2507653061,0.276734699705328
With DUET,2.5,1,31.1548913043471,14117.6378306878,0.0022068062432247
With DUET,2.5,2,108.03812154696,18641.0002747253,0.00579572554877569
With DUET,2.5,3,124.105759162302,22016.3923076923,0.0056369707365244
With DUET,2.5,4,87.842162162161,21062.9540540541,0.00417045785395205
With DUET,2.5,5,320.814583333332,22280.2028205128,0.0143990872039085
With DUET,2.5,6,23.2645251396644,12880.9549450549,0.00180611804318094
With DUET,2.5,7,25.9309392265188,13431.7948087432,0.00193056397866051
With DUET,2.5,8,60.708163265305,20951.8934343434,0.00289750248375141
With DUET,2.5,9,112.36629834254,19225.73125,0.00584457864730322
With DUET,2.5,10,65.0364583333324,20550.7171052632,0.00316468072623491
With DUET,2.5,11,70.8618279569882,19818.4994594595,0.00357553951558959
With DUET,2.5,12,29.6932989690712,16187.2507653061,0.00183436331465949
Traditional,2.5,1,4963.72650273224,14117.6378306878,0.351597523768635
Traditional,2.5,2,12793.1076923077,18641.0002747253,0.686288691795872
Traditional,2.5,3,13416.02578125,22016.3923076923,0.609365312615844
Traditional,2.5,4,10883.5419354839,21062.9540540541,0.516714887548695
Traditional,2.5,5,16385.9569230769,22280.2028205128,0.735449181279032
Traditional,2.5,6,4495.3325,12880.9549450549,0.348990623690193
Traditional,2.5,7,5120.89918032787,13431.7948087432,0.381252040642738
Traditional,2.5,8,9874.86785714286,20951.8934343434,0.471311477794957
Traditional,2.5,9,12206.7814917127,19225.73125,0.634918970466349
Traditional,2.5,10,9870.45209424084,20550.7171052632,0.480297210247372
Traditional,2.5,11,10520.8016042781,19818.4994594595,0.530857627531253
Traditional,2.5,12,6531.2456185567,16187.2507653061,0.403480845095389
With DUET,3,1,36.6372972972965,14117.6378306878,0.00259514358823239
With DUET,3,2,162.24368131868,18641.0002747253,0.00870359309734365
With DUET,3,3,175.654736842104,22016.3923076923,0.00797836150388417
With DUET,3,4,116.412634408601,21062.9540540541,0.00552689020304797
With DUET,3,5,583.722135416665,22280.2028205128,0.0261991392142646
With DUET,3,6,35.8524861878448,12880.9549450549,0.00278337175626942
With DUET,3,7,37.1902173913036,13431.7948087432,0.00276881964926202
With DUET,3,8,103.944306930692,20951.8934343434,0.00496109371959246
With DUET,3,9,169.893989071037,19225.73125,0.00883680245301655
With DUET,3,10,89.9520618556688,20550.7171052632,0.00437707654652263
With DUET,3,11,119.075409836064,19818.4994594595,0.00600829593984368
With DUET,3,12,51.466581632652,16187.2507653061,0.00317945167952544
Traditional,3,1,6594.43442622951,14117.6378306878,0.467106077186301
Traditional,3,2,17581.7633879781,18641.0002747253,0.94317703604225
Traditional,3,3,18275.3658730159,22016.3923076923,0.830079952137783
Traditional,3,4,14432.7602702703,21062.9540540541,0.685220137366836
Traditional,3,5,22388.6580310881,22280.2028205128,1.00486778381009
Traditional,3,6,5879.53833333333,12880.9549450549,0.456452053315388
Traditional,3,7,6799.95494505494,13431.7948087432,0.506258101905238
Traditional,3,8,13190.60675,20951.8934343434,0.629566334485958
